Reporting Economy,Partner Economy
Cameroon,Antigua and Barbuda
Cameroon,Antigua and Barbuda
Cameroon,Gabon
Canada,Bahamas
Canada,Bahamas
Canada,Barbados
Canada,Barbados
Canada,Barbados
Canada,Barbados
Canada,Barbados
Canada,Brunei Darussalam
Canada,Brunei Darussalam
Canada,Brunei Darussalam
Canada,Brunei Darussalam
Canada,Chile
Canada,Chile
Canada,Colombia
Canada,Colombia
Canada,Colombia
Canada,Colombia
Canada,Colombia
Canada,Congo
Canada,Cook Islands
Canada,Costa Rica
Canada,Costa Rica
Canada,Costa Rica
Canada,Costa Rica
Canada,Costa Rica
Canada,Dominican Republic
Canada,Dominican Republic
Canada,Dominican Republic
Canada,Dominican Republic
Canada,Dominican Republic
Canada,Gabon
Canada,Grenada
Canada,Grenada
Canada,Grenada
Canada,Guatemala
Canada,Guatemala
Canada,Guatemala
Canada,Guatemala
Canada,Guatemala
Canada,Guyana
Canada,Guyana
Canada,Guyana
Canada,Haiti
Canada,Haiti
Canada,Haiti
Canada,Honduras
Canada,Honduras
Canada,Honduras
Canada,Honduras
Canada,Jamaica
Canada,Jamaica
Canada,Jamaica
Canada,Jamaica
Canada,Jamaica
Canada,Liberia
Canada,Liberia
Canada,"Macao, China"
Canada,"Macao, China"
Canada,Madagascar
Canada,Mexico
Canada,Mexico
Canada,Mexico
Canada,Mexico
Canada,Mexico
Canada,Morocco
Canada,Morocco
Canada,Morocco
Canada,Morocco
Canada,Morocco
Canada,Nauru
Canada,Norway
Canada,Norway
Canada,Norway
Canada,Norway
Canada,Norway
Canada,Peru
Canada,Peru
Canada,Peru
Canada,Peru
Canada,Peru
Canada,Timor-Leste
Canada,Timor-Leste
Canada,Timor-Leste
Canada,Timor-Leste
Canada,Saint Kitts and Nevis
Canada,Sierra Leone
Canada,Switzerland
Canada,Tunisia
Canada,Tunisia
Canada,Tunisia
Canada,United States of America
Canada,United States of America
Canada,United States of America
Canada,United States of America
Canada,United States of America
Central African Republic,Congo
Central African Republic,Congo
Central African Republic,Congo
Central African Republic,Gabon
Central African Republic,Gabon
Sri Lanka,Myanmar
Sri Lanka,Dominica
Sri Lanka,Maldives
Sri Lanka,Maldives
Sri Lanka,Maldives
Sri Lanka,Seychelles
Chile,Angola
Chile,Bahamas
Chile,"Bolivia, Plurinational State of"
Chile,Cabo Verde
Chile,Paraguay
Chile,Paraguay
Chile,Paraguay
Chile,Paraguay
Chile,Paraguay
Chile,Peru
Chile,Saint Vincent and the Grenadines
China,Afghanistan
China,Afghanistan
China,Angola
China,Angola
China,Argentina
China,Argentina
China,Argentina
China,Argentina
China,Argentina
China,Australia
China,Australia
China,Australia
China,Australia
China,Australia
China,Bangladesh
China,Bangladesh
China,Brazil
China,Brazil
China,Brazil
China,Brazil
China,Brazil
China,Myanmar
China,Myanmar
China,Myanmar
China,Myanmar
China,Myanmar
China,Belarus
China,Belarus
China,Cambodia
China,Cambodia
China,Cambodia
China,Cambodia
China,Cambodia
China,Cameroon
China,Cameroon
China,Cameroon
China,Cameroon
China,Canada
China,Canada
China,Canada
China,Canada
China,Canada
China,Central African Republic
China,Central African Republic
China,Central African Republic
China,Central African Republic
China,Chile
China,Chile
China,Chile
China,Chile
China,Chile
China,Chinese Taipei
China,Chinese Taipei
China,Chinese Taipei
China,Chinese Taipei
China,Chinese Taipei
China,Cook Islands
China,Cook Islands
China,Cook Islands
China,Cook Islands
China,Cook Islands
China,Cuba
China,Cuba
China,Cuba
China,Cuba
China,Cuba
China,Benin
China,Benin
China,Benin
China,Benin
China,Ecuador
China,Ethiopia
China,Ethiopia
China,Ethiopia
China,The Gambia
China,"Hong Kong, China"
China,"Hong Kong, China"
China,"Hong Kong, China"
China,"Hong Kong, China"
China,"Hong Kong, China"
China,India
China,India
China,Indonesia
China,Indonesia
China,Indonesia
China,Indonesia
China,Indonesia
China,Israel
China,Israel
China,Israel
China,Japan
China,Japan
China,Japan
China,Japan
China,Japan
China,Kazakhstan
China,Kazakhstan
China,Kazakhstan
China,Kazakhstan
China,Kazakhstan
China,"Korea, Republic of"
China,"Korea, Republic of"
China,"Korea, Republic of"
China,"Korea, Republic of"
China,"Korea, Republic of"
China,Kyrgyz Republic
China,Kyrgyz Republic
China,Kyrgyz Republic
China,Kyrgyz Republic
China,Kyrgyz Republic
China,Lao People's Democratic Republic
China,Lao People's Democratic Republic
China,Lao People's Democratic Republic
China,Lao People's Democratic Republic
China,Lao People's Democratic Republic
China,Lesotho
China,Lesotho
China,Lesotho
China,Lesotho
China,Lesotho
China,"Macao, China"
China,"Macao, China"
China,"Macao, China"
China,"Macao, China"
China,"Macao, China"
China,Malaysia
China,Malaysia
China,Malaysia
China,Malaysia
China,Malaysia
China,Mali
China,Mali
China,Mali
China,Mali
China,Mali
China,Mauritania
China,Mexico
China,Mongolia
China,Mongolia
China,Mongolia
China,Mongolia
China,Mongolia
China,Mozambique
China,Mozambique
China,Mozambique
China,Mozambique
China,Nepal
China,Nepal
China,Nepal
China,New Zealand
China,New Zealand
China,New Zealand
China,New Zealand
China,New Zealand
China,Niger
China,Niger
China,Niger
China,Niger
China,Niger
China,Pakistan
China,Pakistan
China,Pakistan
China,Pakistan
China,Pakistan
China,Peru
China,Peru
China,Peru
China,Peru
China,Philippines
China,Philippines
China,Philippines
China,Philippines
China,Philippines
China,Senegal
China,Senegal
China,Senegal
China,Senegal
China,Senegal
China,Singapore
China,Singapore
China,Singapore
China,Singapore
China,Viet Nam
China,Viet Nam
China,Viet Nam
China,Viet Nam
China,Viet Nam
China,South Africa
China,South Africa
China,South Africa
China,South Africa
China,South Africa
China,Zimbabwe
China,Zimbabwe
China,Zimbabwe
China,Zimbabwe
China,Zimbabwe
China,Sudan
China,Sudan
China,Sudan
China,Tajikistan
China,Tajikistan
China,Thailand
China,Thailand
China,Thailand
China,Thailand
China,Thailand
China,Togo
China,Togo
China,Togo
China,Togo
China,Togo
China,United Arab Emirates
China,Uganda
China,Uganda
China,Uganda
China,Ukraine
China,Ukraine
China,Ukraine
China,Tanzania
China,Tanzania
China,Tanzania
China,Tanzania
China,Tanzania
China,United States of America
China,United States of America
China,United States of America
China,United States of America
China,United States of America
China,Burkina Faso
China,Burkina Faso
China,Uruguay
China,Uruguay
China,Uruguay
China,Uruguay
China,Uruguay
China,Uzbekistan
China,Uzbekistan
China,Uzbekistan
China,Samoa
China,Samoa
China,Montenegro
China,Montenegro
China,Zambia
China,Zambia
China,Zambia
China,Zambia
China,Zambia
China,European Union
China,European Union
China,European Union
China,European Union
China,European Union
Chinese Taipei,El Salvador
Chinese Taipei,The Gambia
Chinese Taipei,Japan
Chinese Taipei,Japan
Chinese Taipei,Japan
Chinese Taipei,Japan
Chinese Taipei,Japan
Chinese Taipei,"Korea, Republic of"
Chinese Taipei,"Korea, Republic of"
Chinese Taipei,"Korea, Republic of"
Chinese Taipei,"Korea, Republic of"
Chinese Taipei,"Macao, China"
Chinese Taipei,"Macao, China"
Chinese Taipei,Guinea-Bissau
Chinese Taipei,Guinea-Bissau
Chinese Taipei,Sao TomÈ and Principe
Colombia,"Bolivia, Plurinational State of"
Colombia,"Bolivia, Plurinational State of"
Colombia,"Bolivia, Plurinational State of"
Colombia,"Bolivia, Plurinational State of"
Colombia,"Bolivia, Plurinational State of"
Colombia,Ecuador
Colombia,Ecuador
Colombia,Ecuador
Colombia,Palau
Colombia,Peru
Colombia,"Venezuela, Bolivarian Republic of"
Congo,Gabon
Congo,Gabon
Congo,Senegal
Congo,Senegal
Costa Rica,Bahamas
Costa Rica,Bahamas
Costa Rica,El Salvador
Costa Rica,Nauru
Costa Rica,Nicaragua
Costa Rica,Nicaragua
Costa Rica,Nicaragua
Costa Rica,Nicaragua
Costa Rica,Nicaragua
Costa Rica,Panama
Costa Rica,Panama
Costa Rica,Panama
Costa Rica,Panama
Cuba,Dominican Republic
Cuba,Dominican Republic
Cuba,Dominican Republic
Benin,Gabon
Benin,Liberia
Benin,Niger
Benin,Togo
Benin,Togo
Benin,Togo
Benin,Togo
Dominica,Grenada
Dominica,Grenada
Dominica,Saint Kitts and Nevis
Dominica,Saint Lucia
Dominica,Saint Lucia
Dominica,Saint Vincent and the Grenadines
Dominica,Saint Vincent and the Grenadines
Dominican Republic,Belize
Dominican Republic,Cabo Verde
Dominican Republic,Panama
Dominican Republic,Panama
Ecuador,"Bolivia, Plurinational State of"
Ecuador,"Bolivia, Plurinational State of"
Ecuador,Peru
Ecuador,Peru
Ecuador,Peru
Ecuador,Peru
El Salvador,Costa Rica
El Salvador,Guatemala
El Salvador,Guatemala
El Salvador,Guatemala
El Salvador,Guatemala
El Salvador,Guatemala
El Salvador,Honduras
El Salvador,Honduras
El Salvador,Honduras
El Salvador,Honduras
El Salvador,Honduras
El Salvador,Nicaragua
El Salvador,Nicaragua
El Salvador,Nicaragua
El Salvador,Nicaragua
El Salvador,Nicaragua
Ethiopia,Algeria
Ethiopia,Eswatini
Fiji,Vanuatu
Fiji,Vanuatu
Fiji,Vanuatu
Fiji,Vanuatu
Fiji,Vanuatu
Fiji,Palau
Fiji,Palau
Fiji,Palau
Gabon,Cameroon
Georgia,Azerbaijan
Georgia,Azerbaijan
Georgia,Azerbaijan
Georgia,Armenia
Georgia,Armenia
Georgia,Armenia
Georgia,Armenia
Georgia,Armenia
Georgia,Seychelles
Ghana,Algeria
Ghana,Angola
Ghana,Gabon
Ghana,Liberia
Ghana,Niger
Ghana,Niger
Ghana,Niger
Ghana,Nigeria
Ghana,Togo
Ghana,Togo
Ghana,Togo
Guatemala,Costa Rica
Guatemala,Costa Rica
Guatemala,Costa Rica
Guatemala,El Salvador
Guatemala,El Salvador
Guatemala,El Salvador
Guatemala,Honduras
Guatemala,Honduras
Guatemala,Honduras
Guatemala,Mexico
Guatemala,Nicaragua
Guatemala,Panama
Guatemala,Sao TomÈ and Principe
Guatemala,"Venezuela, Bolivarian Republic of"
Guatemala,"Venezuela, Bolivarian Republic of"
Guinea,Sierra Leone
Guinea,Sierra Leone
Guyana,Barbados
Guyana,Barbados
Guyana,Barbados
Guyana,Belize
Guyana,Belize
Guyana,Belize
Guyana,Cabo Verde
Guyana,Jamaica
Guyana,Jamaica
Guyana,Jamaica
Guyana,Saint Lucia
Guyana,Saint Lucia
Guyana,Saint Lucia
Guyana,Saint Lucia
Guyana,Saint Lucia
Guyana,Suriname
Guyana,Suriname
Guyana,Suriname
Guyana,Suriname
Guyana,Suriname
Guyana,Trinidad and Tobago
Guyana,Trinidad and Tobago
Guyana,Trinidad and Tobago
Guyana,Trinidad and Tobago
Guyana,Trinidad and Tobago
Haiti,Antigua and Barbuda
Haiti,Bahamas
Haiti,Dominican Republic
Haiti,Dominican Republic
Haiti,Saint Vincent and the Grenadines
Haiti,Suriname
Honduras,El Salvador
Honduras,El Salvador
Honduras,El Salvador
Honduras,El Salvador
Honduras,Guatemala
"Hong Kong, China",Angola
"Hong Kong, China",Angola
"Hong Kong, China",Bhutan
"Hong Kong, China",Botswana
"Hong Kong, China",Brunei Darussalam
"Hong Kong, China",Brunei Darussalam
"Hong Kong, China",Central African Republic
"Hong Kong, China",Chile
"Hong Kong, China",Chile
"Hong Kong, China",China
"Hong Kong, China",China
"Hong Kong, China",China
"Hong Kong, China",China
"Hong Kong, China",China
"Hong Kong, China",Chinese Taipei
"Hong Kong, China",Chinese Taipei
"Hong Kong, China",Chinese Taipei
"Hong Kong, China",Chinese Taipei
"Hong Kong, China",Chinese Taipei
"Hong Kong, China",Cuba
"Hong Kong, China",Cuba
"Hong Kong, China",Cuba
"Hong Kong, China",Cuba
"Hong Kong, China",Cuba
"Hong Kong, China",Gabon
"Hong Kong, China",Gabon
"Hong Kong, China",Gabon
"Hong Kong, China",Japan
"Hong Kong, China",Japan
"Hong Kong, China",Japan
"Hong Kong, China",Japan
"Hong Kong, China",Japan
"Hong Kong, China","Korea, Republic of"
"Hong Kong, China","Korea, Republic of"
"Hong Kong, China","Korea, Republic of"
"Hong Kong, China","Korea, Republic of"
"Hong Kong, China","Korea, Republic of"
"Hong Kong, China","Macao, China"
"Hong Kong, China","Macao, China"
"Hong Kong, China","Macao, China"
"Hong Kong, China","Macao, China"
"Hong Kong, China","Macao, China"
"Hong Kong, China",Seychelles
"Hong Kong, China",Seychelles
"Hong Kong, China",Seychelles
"Hong Kong, China",Seychelles
"Hong Kong, China",Seychelles
"Hong Kong, China",Zimbabwe
"Hong Kong, China","Venezuela, Bolivarian Republic of"
"Hong Kong, China","Venezuela, Bolivarian Republic of"
Iceland,Norway
Iceland,Norway
India,Afghanistan
India,Afghanistan
India,Afghanistan
India,Afghanistan
India,Afghanistan
India,Argentina
India,Argentina
India,Argentina
India,Bangladesh
India,Bangladesh
India,Bangladesh
India,Bangladesh
India,Bangladesh
India,Bhutan
India,Bhutan
India,Brunei Darussalam
India,Brunei Darussalam
India,Myanmar
India,Myanmar
India,Myanmar
India,Myanmar
India,Myanmar
India,Burundi
India,Cameroon
India,Sri Lanka
India,Sri Lanka
India,Sri Lanka
India,Sri Lanka
India,Sri Lanka
India,Chad
India,Chad
India,Chad
India,Chad
India,Comoros
India,Comoros
India,Comoros
India,Comoros
India,Comoros
India,Congo
India,Congo
India,Congo
India,Congo
India,Democratic Republic of the Congo
India,Democratic Republic of the Congo
India,Democratic Republic of the Congo
India,Democratic Republic of the Congo
India,Benin
India,Benin
India,Benin
India,Benin
India,Benin
India,Djibouti
India,Djibouti
India,Djibouti
India,The Gambia
India,The Gambia
India,The Gambia
India,The Gambia
India,The Gambia
India,Ghana
India,Guinea
India,Guinea
India,Guinea
India,Guinea
India,Guinea
India,Haiti
India,Haiti
India,Indonesia
India,Indonesia
India,Indonesia
India,Indonesia
India,Indonesia
India,CÙte d'Ivoire
India,CÙte d'Ivoire
India,CÙte d'Ivoire
India,CÙte d'Ivoire
India,CÙte d'Ivoire
India,Lesotho
India,Lesotho
India,Lesotho
India,Madagascar
India,Madagascar
India,Madagascar
India,Madagascar
India,Madagascar
India,Malawi
India,Malawi
India,Malawi
India,Malaysia
India,Malaysia
India,Malaysia
India,Malaysia
India,Malaysia
India,Maldives
India,Mali
India,Mali
India,Mali
India,Mali
India,Mali
India,Mongolia
India,Mongolia
India,Mongolia
India,Mozambique
India,Mozambique
India,Mozambique
India,Mozambique
India,Mozambique
India,Nepal
India,Nepal
India,Nepal
India,Nepal
India,Nepal
India,Nigeria
India,Nigeria
India,Nigeria
India,Nigeria
India,Pakistan
India,Pakistan
India,Guinea-Bissau
India,Guinea-Bissau
India,Guinea-Bissau
India,Guinea-Bissau
India,Guinea-Bissau
India,Senegal
India,Senegal
India,Senegal
India,Senegal
India,Senegal
India,Sierra Leone
India,Sudan
India,Sudan
India,Togo
India,Togo
India,United Arab Emirates
India,United Arab Emirates
India,United Arab Emirates
India,United Arab Emirates
India,Uganda
India,Uganda
India,Ukraine
India,Ukraine
India,Ukraine
India,Ukraine
India,Ukraine
India,Tanzania
India,Tanzania
India,Tanzania
India,Tanzania
India,Tanzania
India,Burkina Faso
India,Burkina Faso
India,Burkina Faso
Indonesia,Australia
Indonesia,Australia
Indonesia,Australia
Indonesia,Australia
Indonesia,Australia
Indonesia,Solomon Islands
Indonesia,Solomon Islands
Indonesia,Solomon Islands
Indonesia,Myanmar
Indonesia,Cameroon
Indonesia,Cameroon
Indonesia,Central African Republic
Indonesia,Central African Republic
Indonesia,Central African Republic
Indonesia,Central African Republic
Indonesia,Central African Republic
Indonesia,Chad
Indonesia,Chad
Indonesia,Chad
Indonesia,Comoros
Indonesia,Democratic Republic of the Congo
Indonesia,Democratic Republic of the Congo
Indonesia,Cuba
Indonesia,Benin
Indonesia,Benin
Indonesia,Benin
Indonesia,Benin
Indonesia,Dominica
Indonesia,India
Indonesia,CÙte d'Ivoire
Indonesia,Lao People's Democratic Republic
Indonesia,Liberia
Indonesia,Liberia
Indonesia,Madagascar
Indonesia,Madagascar
Indonesia,Mali
Indonesia,Mali
Indonesia,Mali
Indonesia,Mozambique
Indonesia,Palau
Indonesia,Panama
Indonesia,Timor-Leste
Indonesia,Sao TomÈ and Principe
Indonesia,Seychelles
Indonesia,Singapore
Indonesia,Thailand
Indonesia,Thailand
Indonesia,Thailand
Indonesia,Thailand
Indonesia,Thailand
Indonesia,Burkina Faso
Indonesia,Burkina Faso
Indonesia,Burkina Faso
Israel,Djibouti
Israel,Jordan
Israel,Jordan
Israel,Jordan
Israel,Liberia
Israel,Panama
Israel,Panama
Israel,Panama
Israel,Seychelles
Israel,Seychelles
Israel,Switzerland
Israel,Switzerland
Israel,Switzerland
Israel,Switzerland
Israel,Turkey
CÙte d'Ivoire,Liberia
CÙte d'Ivoire,Niger
CÙte d'Ivoire,Niger
CÙte d'Ivoire,Niger
CÙte d'Ivoire,Niger
CÙte d'Ivoire,Niger
CÙte d'Ivoire,Palau
CÙte d'Ivoire,Senegal
CÙte d'Ivoire,Senegal
CÙte d'Ivoire,Senegal
Jamaica,Barbados
Jamaica,Barbados
Jamaica,Barbados
Jamaica,Belize
Jamaica,Belize
Jamaica,Belize
Jamaica,Belize
Jamaica,Dominican Republic
Jamaica,Guyana
Jamaica,Guyana
Jamaica,Guyana
Jamaica,Guyana
Jamaica,Suriname
Jamaica,Suriname
Jamaica,Suriname
Jamaica,Suriname
Jamaica,Trinidad and Tobago
Jamaica,Trinidad and Tobago
Jamaica,Trinidad and Tobago
Jamaica,Trinidad and Tobago
Japan,Australia
Japan,Australia
Japan,Australia
Japan,Australia
Japan,Australia
Japan,Bhutan
Japan,Bhutan
Japan,Brazil
Japan,Brazil
Japan,Brazil
Japan,Brazil
Japan,Brazil
Japan,Belize
Japan,Brunei Darussalam
Japan,Burundi
Japan,Canada
Japan,Canada
Japan,Canada
Japan,Canada
Japan,Canada
Japan,Cabo Verde
Japan,Cabo Verde
Japan,Cabo Verde
Japan,Sri Lanka
Japan,Sri Lanka
Japan,Sri Lanka
Japan,Chile
Japan,Chile
Japan,Chile
Japan,Chile
Japan,Chile
Japan,China
Japan,China
Japan,China
Japan,China
Japan,China
Japan,Chinese Taipei
Japan,Chinese Taipei
Japan,Chinese Taipei
Japan,Chinese Taipei
Japan,Chinese Taipei
Japan,Colombia
Japan,Colombia
Japan,Colombia
Japan,Colombia
Japan,Colombia
Japan,Cook Islands
Japan,Cook Islands
Japan,Cook Islands
Japan,Cook Islands
Japan,Cook Islands
Japan,Ecuador
Japan,Ethiopia
Japan,Ethiopia
Japan,Ethiopia
Japan,Ghana
Japan,Iceland
Japan,Iceland
Japan,Iceland
Japan,Iceland
Japan,Iceland
Japan,Israel
Japan,Israel
Japan,Israel
Japan,Israel
Japan,Jamaica
Japan,Jamaica
Japan,Jamaica
Japan,Jamaica
Japan,Jamaica
Japan,"Korea, Republic of"
Japan,"Korea, Republic of"
Japan,"Korea, Republic of"
Japan,"Korea, Republic of"
Japan,"Korea, Republic of"
Japan,Lao People's Democratic Republic
Japan,Lao People's Democratic Republic
Japan,Lao People's Democratic Republic
Japan,Lao People's Democratic Republic
Japan,Malaysia
Japan,Mexico
Japan,Mexico
Japan,Mexico
Japan,Mexico
Japan,Mexico
Japan,Mongolia
Japan,Mongolia
Japan,Nepal
Japan,Nepal
Japan,Vanuatu
Japan,Vanuatu
Japan,Vanuatu
Japan,Vanuatu
Japan,New Zealand
Japan,New Zealand
Japan,New Zealand
Japan,New Zealand
Japan,New Zealand
Japan,Nigeria
Japan,Nigeria
Japan,Nigeria
Japan,Nigeria
Japan,Palau
Japan,Palau
Japan,Palau
Japan,Palau
Japan,Philippines
Japan,Philippines
Japan,Philippines
Japan,Philippines
Japan,Philippines
Japan,Guinea-Bissau
Japan,Timor-Leste
Japan,Timor-Leste
Japan,Timor-Leste
Japan,Sao TomÈ and Principe
Japan,Sao TomÈ and Principe
Japan,Singapore
Japan,Singapore
Japan,Singapore
Japan,Singapore
Japan,Singapore
Japan,Viet Nam
Japan,Viet Nam
Japan,Viet Nam
Japan,Viet Nam
Japan,Viet Nam
Japan,Switzerland
Japan,Switzerland
Japan,Switzerland
Japan,Switzerland
Japan,Switzerland
Japan,Thailand
Japan,Thailand
Japan,Thailand
Japan,Thailand
Japan,Thailand
Japan,Tonga
Japan,Tonga
Japan,Tonga
Japan,Tonga
Japan,Tonga
